GLOBALEVENTID,SQLDATE,Actor1Geo_FullName,Actor2Geo_FullName,DATEADDED,SOURCEURL,AvgTone
469832902,20150924,"Ilado, Ondo, Nigeria","Ilado, Ondo, Nigeria",20150924081500,http://nigerianreviews.com/olu-falae-buhari-gives-police-security-agencies-marching-order/,-3.83895131086142
469832927,20150924,"Ilado, Ondo, Nigeria","Ilado, Ondo, Nigeria",20150924081500,http://nigerianreviews.com/olu-falae-buhari-gives-police-security-agencies-marching-order/,-3.83895131086142
469621542,20150923,"Buhari, Kano, Nigeria","Buhari, Kano, Nigeria",20150923170000,http://www.informationng.com/2015/09/buhari-directs-ig-other-security-agencies-to-ensure-safe-rescue-of-falae.html,-0.95693779904306
469621551,20150923,"Buhari, Kano, Nigeria","Buhari, Kano, Nigeria",20150923170000,http://www.informationng.com/2015/09/buhari-directs-ig-other-security-agencies-to-ensure-safe-rescue-of-falae.html,-0.95693779904306
470043888,20150924,"Ondo State, Ondo, Nigeria","Abuja, Abuja Federal Capital Territory, Nigeria",20150924233000,http://newnigerianpolitics.com/2015/09/24/falae-rescued-through-aerial-ground-operations-police/,-3.6734693877551
469674235,20150923,"Bariga, Sokoto, Nigeria","Lagos, Lagos, Nigeria",20150923204500,https://www.naij.com/562583-read-armed-robbers-kogi.html,-9.87654320987652
469674238,20150923,"Bariga, Sokoto, Nigeria","Lagos, Lagos, Nigeria",20150923204500,https://www.naij.com/562583-read-armed-robbers-kogi.html,-9.87654320987652
470532506,20150926,Nigeria,Nigeria,20150926161500,http://www.augsburger-allgemeine.de/politik/Boko-Haram-toetet-bei-Angriff-mindestens-15-Zivilisten-id35605807.html,-6.83760683760683
470259178,20150925,"Yalwa, Kano, Nigeria","Yalwa, Kano, Nigeria",20150925150000,http://dailytrust.com.ng/news/general/hajj-stampede-nigeria-demands-inclusion-in-saudi-probe/112367.html,-4.50643776824034
470259191,20150925,"Yalwa, Kano, Nigeria","Yalwa, Kano, Nigeria",20150925150000,http://dailytrust.com.ng/news/general/hajj-stampede-nigeria-demands-inclusion-in-saudi-probe/112367.html,-4.50643776824034
